TotalProfitPMM,DifferenceInIRAPMM
#DIV/0!,#DIV/0!
37.52554914,68.74541349
-125.4086111,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
0.147907253,-8.292710176
-46.52116345,70.35800561
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
0.977777778,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-30.95906736,0
13.62787906,0
#DIV/0!,#DIV/0!
61.069575,0
-161.375,0
-10.15108835,0
-2.484320024,-51.55983135
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
183.9025,0
-31.63582134,-40.89130612
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-25.04710145,0
-249.7783505,0
#DIV/0!,#DIV/0!
-10.18898864,0
#DIV/0!,#DIV/0!
5758,#DIV/0!
-380.8918919,-96.76006803
#DIV/0!,#DIV/0!
-13.84413807,-12.70817021
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-126.1314925,0
-13.63530398,0
124.5,0
-10.08800091,-1.035734972
#DIV/0!,#DIV/0!
72.4094255,0
#DIV/0!,#DIV/0!
-87.22156785,44.40028274
#DIV/0!,#DIV/0!
-85.77719261,41.44015444
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-46.27348141,-16.56176637
#DIV/0!,#DIV/0!
200.3628677,-49.63211651
-84.41031941,0
-37.46726432,0.483094181
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
54.86639799,27.60072554
3.392857143,#DIV/0!
0,#DIV/0!
-7.625921128,3.486544607
#DIV/0!,#DIV/0!
33.69751678,0
71.16109424,-42.88381023
38.36635768,-6.452164782
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-252.6116881,4.076342221
1.729151731,45.77774792
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
84.62337033,0
7.938647612,0
-27.45353152,8.248082167
-26.97583333,0
31.60125142,5.631511096
#DIV/0!,#DIV/0!
13.91666667,0
#DIV/0!,#DIV/0!
-404.137931,0
#DIV/0!,#DIV/0!
87.027079,0
164.5325203,0
237.4427591,93.58544659
#DIV/0!,#DIV/0!
-202.1642878,0
36.18678317,0
1.129591837,0
#DIV/0!,#DIV/0!
-44.24790705,-20.81879877
214.125,0
#DIV/0!,#DIV/0!
-1.29343882,-11.45026931
2891,-239.7451934
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
100.4593333,#DIV/0!
#DIV/0!,#DIV/0!
4.71237733,0
443.5,#DIV/0!
#DIV/0!,#DIV/0!
-843.5,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
380.0037345,#DIV/0!
-40.90474874,-4.474432191
138.1282692,0
#DIV/0!,#DIV/0!
-177.6016219,83.30714082
-31.35524924,-5.205414294
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
288.3022538,0
16.34237245,-6.435395068
41.52897941,32.01859653
#DIV/0!,#DIV/0!
-65.95261323,0.284819287
#DIV/0!,#DIV/0!
43.3286119,0
-653.9835466,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
45.57043569,0
#DIV/0!,#DIV/0!
20.45035107,-35.08135626
#DIV/0!,#DIV/0!
-4.068894252,42.80074703
143.0410345,-96.21226139
-11.67946087,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
3.666666667,0
-10.72907154,0
123,0
-1.064270663,29.26468172
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
121.2200628,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
239.2469547,-68.89677778
#DIV/0!,#DIV/0!
-5.649753814,0
#DIV/0!,#DIV/0!
167.8516444,0
232.7388,0
-70.68593309,-7.124546072
#DIV/0!,#DIV/0!
-140.8784798,-2.581093567
4.114864865,0
-146.5988268,#DIV/0!
129.024213,0
-45.40847716,-2.778240235
-45.14285714,0
17.19625604,0
-62.89051724,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-48.76713808,-45.25994549
33.44897046,0
